iter	Passed	Remaining
0	6	681
1	12	620
2	18	606
3	24	594
4	30	580
5	37	583
6	44	590
7	53	612
8	63	641
9	71	642
10	81	655
11	90	662
12	99	666
13	108	665
14	117	664
15	125	659
16	130	637
17	137	625
18	143	610
19	149	596
20	155	583
21	161	573
22	169	567
23	176	558
24	182	547
25	188	536
26	195	527
27	201	519
28	208	510
29	215	501
30	220	491
31	226	481
32	231	470
33	237	461
34	243	452
35	249	443
36	254	433
37	260	424
38	265	415
39	271	407
40	278	400
41	284	393
42	291	386
43	298	379
44	304	372
45	310	364
46	315	356
47	321	347
48	327	340
49	333	333
50	338	325
51	343	317
52	348	309
53	354	301
54	358	293
55	363	285
56	367	277
57	371	269
58	375	261
59	380	253
60	385	246
61	389	238
62	394	231
63	401	225
64	406	218
65	411	212
66	418	205
67	424	199
68	431	193
69	438	187
70	444	181
71	451	175
72	457	169
73	464	163
74	471	157
75	477	150
76	483	144
77	489	138
78	495	131
79	501	125
80	507	119
81	514	112
82	520	106
83	526	100
84	534	94
85	540	88
86	546	81
87	552	75
88	558	69
89	565	62
90	571	56
91	578	50
92	585	44
93	593	37
94	601	31
95	608	25
96	615	19
97	622	12
98	630	6
99	637	0
